,location,area_m2,restrooms,bedrooms,price_usd,total_rooms,price_per_sq
1421,"Casa en Venta Toluca De Lerdo, México",204,3,3,139525,6,683.9460784313726
1422,"Casa en Venta Toluca De Lerdo, México",100,2,2,32910.65,4,329.10650000000004
1424,"Casa en Venta Toluca De Lerdo, México",400,3,5,190000,8,475
1425,"Casa en Venta Jose Vicente Villada #00
, Toluca De Lerdo, México",191,3,3,132500,6,693.7172775
1426,"Casa en Venta Rebeca #155
, Toluca De Lerdo, México",150,1,3,52500,4,350
1427,"Casa en Venta Felipe Villanueva #723
, Morelos 1a Sección, Toluca De Lerdo",100,2,3,85000,5,850
1428,"Casa en Venta Toluca De Lerdo, México",400,3,4,525000,7,1312.5
1429,"Casa en Venta Toluca De Lerdo, México",182,2,3,137500,5,755.4945054945055
1432,"Casa en Venta Toluca De Lerdo, México",320,2,4,210000,6,656.25
1433,"Casa en Venta Casa Y Terreno En Venta En Toluca
, Toluca De Lerdo, México",700,4,6,3500000,10,5000
1435,"Casa en Venta Toluca De Lerdo, México",270,2,3,73608.3,5,272.62333333333333
1436,"Casa en Venta Cristóbal Olmedo #134
, Toluca De Lerdo, México",180,2,4,28642.9,6,159.12722222222223
1437,"Casa en Venta Toluca De Lerdo, México",130,2,3,70156.8,5,539.6676923076923
1439,"Casa en Venta Remates Hipotecarios
, Toluca De Lerdo, México",60,2,2,24000,4,400
1440,"Casa en Venta Toluca De Lerdo, México",390,2,3,384500,5,985.8974358974359
1441,"Casa en Venta Toluca De Lerdo, México",140,2,3,49500,5,353.57142857142856
1443,"Casa en Venta Toluca De Lerdo, México",340,4,4,300000,8,882.3529411764706
1444,"Casa en Venta Casa En Venta-renta Andres Quintana Roo Esq. Cedro
, Ciprés, Toluca De Lerdo",530,2,3,625000,5,1179.245283018868
1445,"Casa en Venta Santa María Totoltepec, Toluca De Lerdo",120,3,3,125000,6,1041.6666666666667
1446,"Casa en Venta Toluca De Lerdo, México",66,1,2,45122,3,683.6666666666666
1447,"Casa en Venta Toluca De Lerdo, México",624,3,4,222050,7,355.84935897435895
1449,"Casa en Venta Toluca De Lerdo, México",100,2,3,89115,5,891.15
1450,"Casa en Venta Toluca De Lerdo, México",90,2,3,57500,5,638.8888888888889
1451,"Casa en Venta Eucaliptos Sauces I
, Toluca De Lerdo, México",63,1,2,47500,3,753.968254
1452,"Casa en Venta Calle Miguel Hidalgo #00
, Toluca De Lerdo, México",152,2,3,80000,5,526.3157894736842
1453,"Casa en Venta Toluca De Lerdo, México",191,3,3,84080,6,440.20942408376965
1454,"Casa en Venta Miguel Hidalgo Y C #s/n
, Toluca De Lerdo, México",119,3,3,85000,6,714.2857142857143
1455,"Casa en Venta Manuel Ãvila Camacho
, Morelos 1a Sección, Toluca De Lerdo",300,1,3,112600,4,375.3333333333333
1456,"Casa en Venta Oaxaca #1234
, Toluca De Lerdo, México",150,3,3,92500,6,616.6666666666666
1457,"Casa en Venta Toluca De Lerdo, México",721,4,5,800000,9,1109.5700416088766
1458,"Casa en Venta Hacienda Zumpango #00
, Toluca De Lerdo, México",85,2,2,49822.4,4,586.1458823529412
1459,"Casa en Venta Toluca De Lerdo, México",157,2,3,140000,5,891.7197452
1460,"Casa en Venta Los Sauces Iv
, Toluca De Lerdo, México",135,1,2,43300,3,320.74074074074076
1461,"Casa en Venta Frijol #200
, Toluca De Lerdo, México",85,2,3,46000,5,541.1764705882352
1462,"Casa en Venta Frijol #102
, Toluca De Lerdo, México",120,2,3,49500,5,412.5
1463,"Casa en Venta Toluca De Lerdo, México",210,2,3,175000,5,833.3333333333334
1464,"Casa en Venta Toluca De Lerdo, México",120,2,2,45000,4,375
1465,"Casa en Venta Toluca De Lerdo, México",140,1,3,95000,4,678.5714285714286
1466,"Casa en Venta Gral. Jose Vicente Villada #00
, Toluca De Lerdo, México",237,4,5,137300,9,579.3248945
1468,"Casa en Venta Toluca De Lerdo, México",140,2,3,130000,5,928.5714285714286
1469,"Casa en Venta Jose Maria Arteaga #112
, Toluca De Lerdo, México",294,3,3,75000,6,255.10204081632654
1470,"Casa en Venta Calle María Curie 303, Delegación Santa Ana Tlapaltitlán, Toluca De Lerdo, Estad #**
, Toluca De Lerdo, México",245,25,3,275000,28,1122.4489795918366
1471,"Casa en Venta Toluca De Lerdo, México",123,4,4,147800,8,1201.6260162601627
