,location,area_m2,restrooms,bedrooms,price_usd,total_rooms,price_per_sq
1601,"Casa en Venta Paloma Silvestre #00
, Toluca De Lerdo, México",120,2,3,25937.35,5,216.14458333333332
1602,"Casa en Venta Eduardo González Y Pichardo #0
, La Merced  (alameda), Toluca De Lerdo",369,2,3,168459.35,5,456.52940379403793
1603,"Casa en Venta Jesus Carranza #449
, Toluca, Toluca De Lerdo",624,3,4,222050,7,355.84935897435895
1604,"Casa en Venta Toluca De Lerdo, México",100,2,3,105000,5,1050
1605,"Casa en Venta Calle Thomas Alva Edison #228
, CientÃ­ficos, Toluca De Lerdo",123,4,4,185000,8,1504.0650406504064
1606,"Casa en Venta Toluca De Lerdo, México",340,3,4,73608.3,7,216.495
1607,"Casa en Venta Eduardo Gonzalez Y Pichardo #0
, Toluca De Lerdo, México",410,2,3,168459.4,5,410.87658536585366
1608,"Casa en Venta Carretera Toluca Naucalpan #00
, Toluca De Lerdo, México",200,3,3,73500,6,367.5
1609,"Casa en Venta Galileo #201
, Toluca De Lerdo, México",295,3,4,45300,7,153.5593220338983
1610,"Casa en Venta C. De La Independencia #129
, Toluca De Lerdo, México",150,3,3,73500,6,490
1612,"Casa en Venta Blvd. Isidro Fabela #1505
, Toluca De Lerdo, México",210,2,3,85850,5,408.8095238095238
1613,"Casa en Venta Toluca #606
, Toluca De Lerdo, México",110,2,2,28474,4,258.8545454545455
1614,"Casa en Venta Prol Paseo Totoltepec #302
, Toluca De Lerdo, México",102,2,3,86077.5,5,843.8970588235294
1615,"Casa en Venta Plan De San Luis #0, 1
, Toluca De Lerdo, México",439,4,7,147500,11,335.9908883826879
1616,"Casa en Venta Calle Jose Ma. Arteaga
, Toluca De Lerdo, México",529,1,3,167446.45,4,316.53393194706996
1617,"Casa en Venta Felipe Berriozabal
, Toluca De Lerdo, México",342,2,4,141900,6,414.9122807017544
1618,"Casa en Venta La Barranca #00
, Tlacopa, Toluca De Lerdo",84,1,2,25826.75,3,307.4613095238095
1619,"Casa en Venta Jose Maria Jauregui #00
, Toluca De Lerdo, México",140,2,2,26851.6,4,191.79714285714286
1621,"Casa en Venta Toluca De Lerdo, México",200,2,3,158423.35,5,792.11675
1623,"Casa en Venta Avenida Independencia #00
, Toluca De Lerdo, México",60,2,2,18850,4,314.1666666666667
1624,"Casa en Venta Gladiolas #329
, Toluca De Lerdo, México",106,2,3,31966.25,5,301.5683962264151
1625,"Casa en Venta Toluca De Lerdo, México",30,1,1,21000,2,700
1626,"Casa en Venta Toluca De Lerdo, México",10,2,3,73600,5,7360
1627,"Casa en Venta Fraccionamiento Hacienda Del Valle Ii
, Toluca De Lerdo, México",94,1,2,43970,3,467.7659574468085
1628,"Casa en Venta Adolfo Lopez Mateos #146, 0
, Toluca De Lerdo, México",318,3,3,67939,6,213.64465408805032
1629,"Casa en Venta San Mateo
, Toluca De Lerdo, México",150,1,2,55937.5,3,372.9166666666667
1630,"Casa en Venta Calle Juan Silveti
, Toluca De Lerdo, México",62,1,2,34240,3,552.2580645
1631,"Casa en Venta Calle Alberto Balderas
, Toluca De Lerdo, México",62,1,2,34240,3,552.2580645
1632,"Casa en Venta Ricardo Flores Magon Al 200
, Toluca De Lerdo, México",139,1,2,62920,3,452.66187050359713
1633,"Casa en Venta Fraccionamiento Los Sauces V
, Toluca De Lerdo, México",67,1,2,34780,3,519.1044776119403
1634,"Casa en Venta Conjunto Geovillas Los Cedros
, Toluca De Lerdo, México",56,1,2,34360,3,613.5714285714286
1635,"Casa en Venta San Lorenzo Tepaltitlan Al 200
, Toluca De Lerdo, México",112,1,2,58586.25,3,523.0915178571429
1636,"Casa en Venta Av. Ahuehuetes
, Toluca De Lerdo, México",54,1,2,47830,3,885.7407407407408
1637,"Casa en Venta Miguel Hidalgo #0000
, Toluca De Lerdo, México",153,3,3,33159.2,6,216.7267973856209
1638,"Casa en Venta Valle De Cuitzeo #0000
, Toluca De Lerdo, México",126,3,3,23109.35,6,183.40753968253966
1639,"Casa en Venta Toluca De Lerdo, México",240,2,4,73608.3,6,306.70125
1641,"Casa en Venta Doctor Juan Rodriguez #410
, Toluca, Toluca De Lerdo",550,4,5,57833.4,9,105.15163636363637
1642,"Casa en Venta Toluca De Lerdo, México",216,3,3,55662,6,257.69444444444446
1643,"Casa en Venta Paloma Silvestre #0
, Toluca De Lerdo, México",200,2,3,23815.3,5,119.0765
1644,"Casa en Venta Paloma Tortola #0
, Toluca De Lerdo, México",200,2,3,23800.35,5,119.00174999999999
1645,"Casa en Venta Guillermo Marconi #00
, Toluca De Lerdo, México",120,2,2,34963.6,4,291.36333333333334
1646,"Casa en Venta Tanganica #00
, Toluca De Lerdo, México",100,2,3,93050,5,930.5
1647,"Casa en Venta José María Arteaga #405
, Toluca De Lerdo, México",504,2,3,282500,5,560.515873
1648,"Casa en Venta Cerrada Lago Atitlán #508, Toluca De Lerdo, México",180,3,4,125000,7,694.4444444444445
1649,"Casa en Venta Cerrada Lago Atitlán #508
, Toluca De Lerdo, México",180,3,4,125000,7,694.4444444444445
1650,"Casa en Venta Lic Jose Antonio Muñóz Samayoa #38, Toluca De Lerdo, México",648,2,3,96845,5,149.45216049382717
1651,"Casa en Venta Jose Maria Arteaga #112
, Toluca De Lerdo, México",295,2,3,73300,5,248.47457627118644
1652,"Casa en Venta Av Independencia #143
, Toluca De Lerdo, México",100,2,3,18850,5,188.5
1653,"Casa en Venta Casa Habitacion #223
, Toluca De Lerdo, México",100,1,2,40000,3,400
1654,"Casa en Venta Toluca De Lerdo, México",122,2,3,67329.1,5,551.8778688524591
1655,"Casa en Venta Convento De San Antonio Padua #28
, Toluca De Lerdo, México",101,3,3,87500,6,866.3366336633663
1656,"Casa en Venta Av Independencia #0
, Toluca De Lerdo, México",120,2,3,21100,5,175.83333333333334
1657,"Casa en Venta Prol. Progreso #305
, Toluca De Lerdo, México",190,2,3,30370.4,5,159.8442105263158
1658,"Casa en Venta Av Independencia #0
, Toluca De Lerdo, México",160,2,3,21150,5,132.1875
1659,"Casa en Venta Exhacienda De Mayorazgo #o
, Toluca De Lerdo, México",200,2,3,23749.55,5,118.74775
1660,"Casa en Venta Juan Aldama Sur #708
, Toluca De Lerdo, México",520,4,5,58237.45,9,111.99509615384615
1661,"Casa en Venta Cacalomacan, Toluca De Lerdo",150,2,4,117500,6,783.3333333333334
1662,"Casa en Venta Calle Independencia Con Pedro Ascencio
, Toluca De Lerdo, México",480,2,3,161590,5,336.6458333333333
1663,"Casa en Venta Isabela Catolica #00
, Toluca De Lerdo, México",150,2,3,54800,5,365.3333333333333
1664,"Casa en Venta Circuito Hacienda La Laguna #00
, Toluca De Lerdo, México",94,2,4,82150,6,873.9361702
1665,"Casa en Venta Eulalia Peñaloza
, Federal (adolfo López Mateos), Toluca De Lerdo",225,3,3,80463.5,6,357.61555555555555
1666,"Casa en Venta Juan Aldama Sur #708
, Toluca De Lerdo, México",520,4,5,58237.45,9,111.99509615384615
1667,"Casa en Venta Doctor Juan Rodríguez #410
, Toluca, Toluca De Lerdo",800,5,5,57833.4,10,72.29175000000001
1668,"Casa en Venta Paseo Cristobal Colon Al 500
, Toluca De Lerdo, México",216,1,3,115550,4,534.9537037037037
1669,"Casa en Venta Guillermo Marconi Al 500
, Toluca De Lerdo, México",120,1,3,52599.75,4,438.33125
1670,"Casa en Venta Lago Tanganica
, Toluca De Lerdo, México",190,1,3,77275,4,406.7105263157895
1671,"Casa en Venta Profra. Eulalia Peñaloza
, Toluca De Lerdo, México",225,1,3,96963.5,4,430.9488888888889
1672,"Casa en Venta Dora #0
, Toluca De Lerdo, México",200,3,4,73608.3,7,368.04150000000004
1673,"Casa en Venta Toluca De Lerdo, México",180,1,3,50091.7,4,278.2872222222222
1675,"Casa en Venta Toluca De Lerdo, México",120,3,3,38213.5,6,318.4458333333333
1676,"Casa en Venta Toluca De Lerdo, México",97,2,3,82900,5,854.6391753
1677,"Casa en Venta Plan De San Luis #0, 1
, Toluca De Lerdo, México",435,4,6,147500,10,339.08045977011494
1680,"Casa en Venta Dora #000
, Toluca De Lerdo, México",240,4,4,73608.3,8,306.70125
1681,"Casa en Venta Toluca De Lerdo, México",582,3,7,400000,10,687.2852233676975
1682,"Casa en Venta Toluca De Lerdo, México",300,2,3,69649.95,5,232.16649999999998
1683,"Casa en Venta Doctor Juan Rodríguez #410, Toluca De Lerdo, México",550,4,5,65333.4,9,118.788
1684,"Casa en Venta Manzana 43 Fraccionamiento Hacienda Del Valle
, Toluca De Lerdo, México",99,2,3,78660,5,794.5454545454545
1685,"Casa en Venta Manzana 57 Conjunto Bosques De Cantabria
, Toluca De Lerdo, México",94,2,3,74700,5,794.6808510638298
1687,"Casa en Venta Arbol De Las Manitas #0
, Toluca De Lerdo, México",160,3,4,19520,7,122
1688,"Casa en Venta Toluca De Lerdo, México",111,2,3,65550,5,590.5405405405405
1689,"Casa en Venta Toluca De Lerdo, México",94,2,3,64150,5,682.4468085106383
1690,"Casa en Venta Toluca De Lerdo, México",112,2,3,60000,5,535.7142857142857
1691,"Casa en Venta Toluca De Lerdo, México",130,2,3,94085,5,723.7307692307693
1693,"Casa en Venta Toluca De Lerdo, México",342,3,4,141900,7,414.9122807017544
1694,"Casa en Venta Felipe Berriozabal
, Toluca De Lerdo, México",342,2,3,159400,5,466.08187134502924
1695,"Casa en Venta Frijol #201
, Toluca De Lerdo, México",196,2,3,113771.75,5,580.4681122
1696,"Casa en Venta Toluca De Lerdo, México",310,2,3,121828.55,5,392.99532258064517
1697,"Casa en Venta Lago Tanganica #00
, Toluca De Lerdo, México",190,3,3,74275,6,390.92105263157896
1698,"Casa en Venta Lago Tanganica
, Ocho Cedros, Toluca De Lerdo",190,1,2,60775,3,319.86842105263156
1699,"Casa en Venta Toluca De Lerdo, México",100,1,3,28958.8,4,289.58799999999997
1700,"Casa en Venta Puebla #711
, Toluca De Lerdo, México",130,3,3,117700,6,905.3846153846154
1701,"Casa en Venta Sierra Ventana #206
, Toluca De Lerdo, México",180,3,3,241450,6,1341.388888888889
1702,"Casa en Venta Toluca De Lerdo, México",120,1,3,57500,4,479.1666666666667
1703,"Casa en Venta Av Independencia #143
, Toluca De Lerdo, México",100,2,3,18850,5,188.5
1704,"Casa en Venta Toluca De Lerdo, México",250,1,5,125000,6,500
1705,"Casa en Venta Felipe Villanueva #723
, Morelos 1a Sección, Toluca De Lerdo",100,2,3,93450,5,934.5
1706,"Casa en Venta Parque Chapa De Mota #40
, Toluca De Lerdo, México",180,1,3,67500,4,375
1707,"Casa en Venta Jose Fco Guerra #15
, Toluca De Lerdo, México",65,2,2,31412.3,4,483.2661538461538
1708,"Casa en Venta Doctor Juan Rodríguez #410
, Toluca, Toluca De Lerdo",550,4,5,57834.4,9,105.15345454545455
1709,"Casa en Venta 3a. Cerrada Ex-hda. San Jorge #0
, Toluca De Lerdo, México",185,3,3,39415.9,6,213.05891891891892
1710,"Casa en Venta Miguel Hidalgo #511, 0
, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",122,1,3,73014,4,598.4754098360655
1711,"Casa en Venta Toluca De Lerdo, México",148,2,3,80000,5,540.5405405405405
1712,"Casa en Venta Sierra Ventana #206
, Toluca De Lerdo, México",180,3,3,241450,6,1341.388888888889
1713,"Casa en Venta Fuente De La Vida #1
, Toluca De Lerdo, México",140,2,3,50000,5,357.14285714285717
1714,"Casa en Venta San Mateo #101
, Toluca De Lerdo, México",155,2,3,74250,5,479.03225806451616
1715,"Casa en Venta Toluca De Lerdo, México",108,2,2,47500,4,439.81481481481484
1716,"Casa en Venta Arteaga Ote #1006
, Toluca De Lerdo, México",150,3,3,112500,6,750
1717,"Casa en Venta Carretera Toluca-naucalpan #1702
, Toluca De Lerdo, México",218,4,3,68000,7,311.92660550458714
1718,"Casa en Venta La Barranca #0000
, Tlacopa, Toluca De Lerdo",70,1,2,25826.75,3,368.9535714285714
1719,"Casa en Venta San Mateo #101
, Toluca De Lerdo, México",90,2,3,55000,5,611.1111111111111
1720,"Casa en Venta Eulalia Peñaloza #224
, Toluca De Lerdo, México",270,2,3,70000,5,259.25925925925924
1721,"Casa en Venta Toluca De Lerdo, México",360,4,4,95406.9,8,265.01916666666665
1722,"Casa en Venta Prol Paseo Totoltepec #302
, Toluca De Lerdo, México",102,2,3,72431.95,5,710.1171568627451
1724,"Casa en Venta Calle Tierra Y Libertad #00
, Toluca De Lerdo, México",200,3,3,49553.05,6,247.76525
1725,"Casa en Venta Casa En Venta San Mateo Otzacatipa Toluca
, San Mateo Otzacatipan, Toluca De Lerdo",110,2,3,87500,5,795.4545454545455
1726,"Casa en Venta Casa En Venta San Pedro Totoltepec Toluca
, San Pedro Totoltepec, Toluca De Lerdo",110,2,3,65000,5,590.9090909090909
1727,"Casa en Venta Toluca De Lerdo, México",230,3,4,100000,7,434.7826086956522
1728,"Casa en Venta Casa En Venta Barrio De Tlacopa Toluca
, Tlacopa, Toluca De Lerdo",132,2,3,165000,5,1250
1729,"Casa en Venta Toluca De Lerdo, México",120,2,2,44950,4,374.5833333333333
1730,"Casa en Venta Juan Aldama Sur #708
, Toluca De Lerdo, México",520,4,5,50000,9,96.15384615384616
1731,"Casa en Venta Prolongación Jesús Carranza #1307
, Toluca De Lerdo, México",240,2,3,149250,5,621.875
1732,"Casa en Venta Guerrero #00
, Toluca De Lerdo, México",150,3,3,43737.1,6,291.5806666666667
1733,"Casa en Venta Melia Mimosas #0
, Toluca De Lerdo, México",100,1,3,54000,4,540
1734,"Casa en Venta Lago Tangarica
, Ocho Cedros, Toluca De Lerdo",190,2,3,60775,5,319.86842105263156
1737,"Casa en Venta Benito Juárez Garcia Sur
, Toluca De Lerdo, México",199,2,3,71106.6,5,357.3195979899498
1740,"Casa en Venta El Frijol #209, Lote 55
, Toluca De Lerdo, México",210,2,3,130000,5,619.047619
1741,"Casa en Venta Avenida Hidalgo Poniente #0
, Toluca De Lerdo, México",270,2,5,33557.45,7,124.28685185185184
1742,"Casa en Venta Guillermo Marconi #507
, Toluca De Lerdo, México",120,2,3,55099.75,5,459.1645833333333
1743,"Casa en Venta San Mateo #101
, Toluca De Lerdo, México",150,2,3,58437.5,5,389.5833333333333
1744,"Casa en Venta Lago Tanganica #708
, Toluca De Lerdo, México",190,2,3,79750,5,419.7368421052632
1745,"Casa en Venta Profra Eulalia Peñaloza #224
, Toluca De Lerdo, México",225,2,3,79750,5,354.44444444444446
1746,"Casa en Venta Toluca De Lerdo, México",180,2,3,241450,5,1341.388888888889
1747,"Casa en Venta Toluca De Lerdo, México",150,2,3,85991.35,5,573.2756666666667
1748,"Casa en Venta Mariano C. Olivera #246, Lt 34 Mz 16
, Toluca De Lerdo, México",150,2,3,45000,5,300
1749,"Casa en Venta Toluca De Lerdo, México",100,2,3,184248.65,5,1842.4865
1750,"Casa en Venta Casa En Venta Fracc Los Pirules Tlalnepantla De Baz
, De Tlanepantla, Toluca De Lerdo",216,3,3,105000,6,486.1111111111111
1751,"Casa en Venta Pensador Mexicano #302, Int 2 Lote 2
, Toluca De Lerdo, México",120,2,3,87050,5,725.4166666666666
1752,"Casa en Venta Toluca De Lerdo, México",100,2,3,93450,5,934.5
1753,"Casa en Venta Toluca De Lerdo, México",181,3,3,139370,6,770
1754,"Casa en Venta Carretera Mexico-toluca #1706
, Toluca De Lerdo",133,2,3,88950,5,668.7969925
1755,"Casa en Venta Toluca De Lerdo, México",50,1,1,22000,2,440
1756,"Casa en Venta Toluca De Lerdo, México",710,5,4,1192500,9,1679.5774647887324
1758,"Casa en Venta Quintqna Roo Esquina Cedro #s/n
, Toluca De Lerdo, México",530,3,3,625000,6,1179.245283018868
1759,"Casa en Venta Eduardo Gonzalez Y Pichardo #0
, Toluca De Lerdo, México",410,2,3,168459.4,5,410.87658536585366
1760,"Casa en Venta Toluca De Lerdo, México",199,2,3,71106.6,5,357.3195979899498
1761,"Casa en Venta Convento Santa Isabel #0
, Toluca De Lerdo, México",101,3,3,84937.5,6,840.9653465346535
1762,"Casa en Venta Blvd Miguel Aleman #mz 1 Lt B, 2
, Toluca De Lerdo, México",112,3,2,69200,5,617.8571428571429
1763,"Casa en Venta Leona Vicario #950
, Toluca De Lerdo, México",148,2,3,88600,5,598.6486486486486
1764,"Casa en Venta Lago Tanganica #00
, Toluca De Lerdo, México",100,2,2,78041.6,4,780.416
1765,"Casa en Venta Toluca De Lerdo, México",200,2,3,62555.4,5,312.777
1766,"Casa en Venta Lorenzo Garza #198
, Toluca De Lerdo, México",120,2,2,31550,4,262.9166666666667
1767,"Casa en Venta Toluca De Lerdo, México",225,2,3,92790,5,412.4
1768,"Casa en Venta Retorno 8 #1
, Toluca De Lerdo, México",141,3,3,83750,6,593.9716312056737
1769,"Casa en Venta Toluca De Lerdo, México",216,3,4,147800,7,684.2592592592592
1770,"Casa en Venta Toluca De Lerdo, México",70,1,3,25000,4,357.14285714285717
1771,"Casa en Venta Toluca De Lerdo, México",529,2,3,163946.45,5,309.9176748582231
1772,"Casa en Venta Eulalia Peñaloza
, Federal (adolfo López Mateos), Toluca De Lerdo",225,2,3,80463.5,5,357.61555555555555
1773,"Casa en Venta Juan Aldama Sur #708
, Toluca De Lerdo, México",520,3,4,58237.45,7,111.99509615384615
1774,"Casa en Venta Camino A San Juan Tilapa #137, 10
, Toluca De Lerdo, México",120,3,3,75000,6,625
1775,"Casa en Venta Manzana 7 Hacienda Del Valle
, Toluca De Lerdo, México",91,2,3,75180,5,826.1538461538462
1776,"Casa en Venta Toluca De Lerdo, México",96,2,3,62250,5,648.4375
1777,"Casa en Venta Camino A San Juan Tilapa #00
, Toluca De Lerdo, México",124,3,3,93575,6,754.6370967741935
1778,"Casa en Venta Jose Maria Arteaga #112
, Toluca De Lerdo, México",294,3,3,108000,6,367.3469387755102
1779,"Casa en Venta Lago Tanganica #00
, Toluca De Lerdo, México",100,2,2,78041.6,4,780.416
1780,"Casa en Venta Toluca De Lerdo, México",130,3,3,117700,6,905.3846153846154
1781,"Casa en Venta Adolfo López Mateo #0, 0
, Toluca De Lerdo, México",210,1,3,41500,4,197.61904761904762
1782,"Casa en Venta Antiguo Camino A San Lorenzo #200
, Toluca De Lerdo, México",180,2,3,20367.25,5,113.15138888888889
1783,"Casa en Venta Toluca De Lerdo, México",141,3,3,83750,6,593.9716312056737
1784,"Casa en Venta Toluca De Lerdo, México",190,3,3,93450,6,491.8421052631579
1785,"Casa en Venta Lago Tanganica #sn
, Toluca De Lerdo, México",100,2,2,78041.6,4,780.416
1786,"Casa en Venta Toluca De Lerdo, México",180,3,3,241450,6,1341.388888888889
1787,"Casa en Venta Toluca De Lerdo, México",204,3,3,139525,6,683.9460784313726
1788,"Casa en Venta Geologos #120
, Toluca De Lerdo, México",67,1,2,50500,3,753.7313432835821
1789,"Casa en Venta Geologos #120
, Toluca De Lerdo, México",120,2,2,44950,4,374.5833333333333
1791,"Casa en Venta Rayon #25
, Toluca De Lerdo, México",67,1,1,27500,2,410.44776119402985
1792,"Casa en Venta Toluca De Lerdo, México",120,2,2,35000,4,291.6666666666667
1794,"Casa en Venta Camino A San Juan Tilapa #137, 20
, Toluca De Lerdo, México",206,3,3,92500,6,449.02912621359224
1795,"Casa en Venta Toluca De Lerdo, México",200,4,5,130000,9,650
1796,"Casa en Venta La Toscana #00000
, Toluca De Lerdo, México",218,3,3,68000,6,311.92660550458714
1797,"Casa en Venta Toluca De Lerdo, México",300,4,3,129272.05,7,430.90683333333334
1798,"Casa en Venta José Martí­ #209, 00
, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",70,1,2,37300,3,532.8571428571429
1799,"Casa en Venta La Merced  (alameda), Toluca De Lerdo",1580,10,18,1400000,28,886.0759493670886
1800,"Casa en Venta Sierra Cotopaxi #113
, Toluca De Lerdo, México",270,2,3,50000,5,185.1851851851852
1801,"Casa en Venta Sierra Cotopaxi #113
, Toluca De Lerdo, México",270,2,3,50000,5,185.1851851851852
1802,"Casa en Venta Industria Minera #0
, Toluca De Lerdo, México",146,4,3,174000,7,1191.7808219178082
1803,"Casa en Venta Valladolid #0
, Toluca De Lerdo, México",149,3,4,92271.45,7,619.2714765100671
1804,"Casa en Venta Toluca De Lerdo, México",102,2,3,72431.95,5,710.1171568627451
1805,"Casa en Venta Toluca De Lerdo, México",360,3,4,95406.9,7,265.01916666666665
1806,"Casa en Venta Toluca De Lerdo, México",100,2,3,22386.5,5,223.865
1807,"Casa en Venta Jose Antonio Villada
, Toluca De Lerdo, México",273,2,4,119300,6,436.996337
1808,"Casa en Venta San Mateo
, Toluca De Lerdo, México",150,2,3,41437.5,5,276.25
1809,"Casa en Venta Arbol De Manitas #0
, Toluca De Lerdo, México",300,3,4,19520,7,65.06666666666666
1810,"Casa en Venta Agustín Millán #0, Toluca De Lerdo, México",94,2,3,63900,5,679.7872340425532
1811,"Casa en Venta Tierra Y Libertad #114
, Toluca De Lerdo, México",200,2,3,34738.25,5,173.69125
1812,"Casa en Venta Dora #106
, Toluca De Lerdo, México",240,4,4,55428.9,8,230.95375
1813,"Casa en Venta Dora #106
, Toluca De Lerdo, México",240,4,4,55428.9,8,230.95375
1814,"Casa en Venta Toluca De Lerdo, México",128,2,3,47680.5,5,372.5039063
1817,"Casa en Venta Eduardo Gonzalez Y Pichardo #0
, La Merced  (alameda), Toluca De Lerdo",340,4,4,168459.4,8,495.46882352941174
1818,"Casa en Venta Toluca De Lerdo, México",160,2,3,43635,5,272.71875
1819,"Casa en Venta Lago Tanganica #sn
, Toluca De Lerdo, México",100,3,2,78041.6,5,780.416
1820,"Casa en Venta Camino A Tlacotepec
, Vicente Guerrero, Toluca De Lerdo",212,1,2,88507.25,3,417.48702830188677
1821,"Casa en Venta Blvd Miguel Aleman #mz 1 Lt B, Casa 2
, Toluca De Lerdo, México",112,3,2,69200,5,617.8571428571429
1822,"Casa en Venta Guillermo Marconi #sn
, Toluca De Lerdo, México",74,2,3,54368.9,5,734.7148648648649
1825,"Casa en Venta Boulevard Filiberto Navas #100
, Toluca De Lerdo, México",110,2,2,57500,4,522.7272727272727
1827,"Casa en Venta Toluca De Lerdo, México",460,10,14,525000,24,1141.304347826087
1828,"Casa en Venta Retorno 8 #casa 1
, Toluca De Lerdo, México",141,3,3,83750,6,593.9716312056737
1829,"Casa en Venta Toluca De Lerdo, México",102,2,3,72431.95,5,710.1171568627451
1830,"Casa en Venta Av. Antiguo Camino A San Lorenzo Tepaltitlan
, Toluca De Lerdo, México",112,1,2,47297.25,3,422.296875
1831,"Casa en Venta Rancho Seco #0000
, Toluca De Lerdo, México",80,1,2,10653.05,3,133.16312499999998
1832,"Casa en Venta Casa En Venta Unidad Victoria Toluca
, Toluca De Lerdo, México",132,2,3,90000,5,681.8181818181819
1833,"Casa en Venta Felipe Berriozabal
, Toluca De Lerdo, México",342,2,3,70950,5,207.4561403508772
1834,"Casa en Venta Toluca De Lerdo, México",273,3,4,119300,7,436.996337
1835,"Casa en Venta Puebla #711
, Toluca De Lerdo, México",130,3,3,117700,6,905.3846153846154
1836,"Casa en Venta Sierra Ventana #206
, Toluca De Lerdo, México",180,3,3,241450,6,1341.388888888889
1837,"Casa en Venta Jose Maria Arteaga #112
, Toluca De Lerdo, México",294,3,3,108000,6,367.3469387755102
1838,"Casa en Venta Callejón Zenzontle #manzana 8, 00, Toluca, Toluca De Lerdo",100,2,3,53500,5,535
1840,"Casa en Venta Carretera Toluca Naucalpan #1702
, Toluca De Lerdo, México",133,2,3,68000,5,511.2781954887218
1842,"Casa en Venta San Mateo
, Toluca De Lerdo, México",150,2,3,41437.5,5,276.25
1843,"Casa en Venta Carretera Federal Toluca.naucalpan #1702
, Toluca De Lerdo, México",125,3,3,68691.55,6,549.5324
1844,"Casa en Venta Mariano Jimenez #125
, Toluca De Lerdo, México",235,4,6,125000,10,531.9148936170212
1845,"Casa en Venta Toluca De Lerdo, México",96,2,3,86750,5,903.6458333333334
1846,"Casa en Venta Independencia #129
, Toluca De Lerdo, México",163,5,3,120600,8,739.8773006134969
1847,"Casa en Venta Toluca De Lerdo, México",120,2,3,51018.5,5,425.15416666666664
1848,"Casa en Venta Rebeca #00, 00
, Toluca De Lerdo, México",135,3,3,134726.45,6,997.9737037037038
1849,"Casa en Venta Prol Paseo Totoltepec #0
, Toluca De Lerdo, México",131,2,2,57000,4,435.1145038167939
1850,"Casa en Venta Paseo Cristobal Colón #511
, Toluca De Lerdo, México",204,3,3,139525,6,683.9460784313726
1851,"Casa en Venta Prolongación Progreso #307, 0
, Toluca De Lerdo, México",140,2,3,31750,5,226.78571428571428
1852,"Casa en Venta Tierra Y Libertad #114
, Toluca De Lerdo, México",200,2,3,39738.25,5,198.69125
1853,"Casa en Venta Azaleas #0000
, Toluca De Lerdo, México",95,1,3,27737.7,4,291.97578947368424
1854,"Casa en Venta Paloma Silvestre #0000
, Toluca De Lerdo, México",130,1,3,23565.35,4,181.27192307692306
1856,"Casa en Venta Toluca De Lerdo, México",342,3,3,70950,6,207.4561403508772
1857,"Casa en Venta Toluca De Lerdo, México",123,4,4,142500,8,1158.5365853658536
1858,"Casa en Venta Toluca De Lerdo, México",150,2,3,53800,5,358.6666666666667
1859,"Casa en Venta Arcoiris #0
, Toluca De Lerdo, México",150,2,3,19500,5,130
1860,"Casa en Venta Niños Héroes #nd
, Toluca De Lerdo, México",45,2,2,38500,4,855.5555555555555
1861,"Casa en Venta Toluca De Lerdo, México",396,2,3,400000,5,1010.10101
1862,"Casa en Venta Boulevard Miguel Aleman #mz-1 Lt.b
, Toluca De Lerdo, México",250,3,3,86000,6,344
1863,"Casa en Venta Antiguo Camino A San Lorenzo Tepatitlan #200, 00
, Toluca De Lerdo, México",112,3,3,61720.75,6,551.078125
1864,"Casa en Venta S/n #s/n
, Toluca De Lerdo, México",55,1,2,86900,3,1580
1865,"Casa en Venta Jesús Carranza #449
, Toluca De Lerdo, México",624,3,4,222050,7,355.84935897435895
1866,"Casa en Venta Doctor Juan Rodriguez #410
, Toluca De Lerdo, México",550,4,5,57833.4,9,105.15163636363637
1867,"Casa en Venta Lic Jose Antonio Muñóz
, Toluca De Lerdo, México",648,2,4,108550,6,167.51543209876544
1869,"Casa en Venta Casa En Venta Santiago Miltepec Toluca
, Toluca De Lerdo, México",380,3,4,72500,7,190.78947368421052
1870,"Casa en Venta Toluca De Lerdo, México",240,4,5,110000,9,458.3333333333333
1871,"Casa en Venta Lago Tanganica #00, 00
, Toluca De Lerdo, México",190,3,3,85085,6,447.8157894736842
1872,"Casa en Venta Maria Curie (venta De Varias Casas En Fracc. Escrituradas) #303, 00
, Toluca De Lerdo, México",195,3,3,175000,6,897.4358974358975
1873,"Casa en Venta Toluca De Lerdo, México",190,1,3,74775,4,393.55263157894734
1874,"Casa en Venta Filiberto Navas #11
, Toluca De Lerdo, México",136,2,3,28564.4,5,210.03235294117647
1875,"Casa en Venta Girasol #218
, Toluca De Lerdo, México",140,1,3,75637.5,4,540.2678571428571
1876,"Casa en Venta Toluca De Lerdo, México",120,3,3,21950,6,182.91666666666666
1878,"Casa en Venta Toluca De Lerdo, México",85,1,3,80000,4,941.1764705882352
1879,"Casa en Venta Insurgentes
, Toluca De Lerdo, México",306,3,3,96687.5,6,315.97222222222223
1880,"Casa en Venta Eulalia Peñaloza #224
, Toluca De Lerdo, México",226,2,3,120000,5,530.9734513274336
1881,"Casa en Venta Toluca De Lerdo, México",225,1,3,94463.5,4,419.8377777777778
1883,"Casa en Venta Dora #000
, Toluca De Lerdo, México",240,4,4,73608.3,8,306.70125
1884,"Casa en Venta Toluca De Lerdo, México",50,1,3,24168,4,483.36
1885,"Casa en Venta Toluca De Lerdo, México",624,3,4,215000,7,344.55128205128204
